"filename", "language", "Markdown", "Batch", "Shell Script", "HTTP", "JSON", "JavaScript", "Properties", "Log", "ObjectPascal", "HTML", "YAML", "CSS", "SCSS", "Dart", "XML", "comment", "blank", "total"
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/_coverpage.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 12
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/_navbar.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/_sidebar.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/how_to_use.md", "Markdown", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 118
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/techniques.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 1, 111
"/Users/FelixYeung/Projects/event-ticketing-system/get_pascal_source_code.sh", "Shell Script", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/FelixYeung/Projects/event-ticketing-system/ideas.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/FelixYeung/Projects/event-ticketing-system/run_client.bat", "Batch", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/FelixYeung/Projects/event-ticketing-system/run_client.sh", "Shell Script", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/FelixYeung/Projects/event-ticketing-system/run_server.bat", "Batch", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/FelixYeung/Projects/event-ticketing-system/run_server.sh", "Shell Script", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"/Users/FelixYeung/Projects/event-ticketing-system/server/api.rest", "HTTP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"/Users/FelixYeung/Projects/event-ticketing-system/server/database/events.backup.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/FelixYeung/Projects/event-ticketing-system/server/database/events.json", "JSON", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 130
"/Users/FelixYeung/Projects/event-ticketing-system/server/database/users.backup.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/FelixYeung/Projects/event-ticketing-system/server/database/users.json", "JSON", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99
"/Users/FelixYeung/Projects/event-ticketing-system/server/documentation/feli_config.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/FelixYeung/Projects/event-ticketing-system/server/documentation/feli_constants.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/FelixYeung/Projects/event-ticketing-system/server/documentation/feli_crypto.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/FelixYeung/Projects/event-ticketing-system/server/documentation/feli_file.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
